Something	101-030716-JAP_(Rat230_2).CEL	102-030716-JAP_(Rat230_2).CEL	104-030716-JAP_(Rat230_2).CEL	105-030716-JAP_(Rat230_2).CEL	106-030716-JAP_(Rat230_2).CEL	107-030716-JAP_(Rat230_2).CEL	109-030716-JAP_(Rat230_2).CEL	110-030716-JAP_(Rat230_2).CEL	112-030716-JAP_(Rat230_2).CEL	113-030716-JAP_(Rat230_2).CEL	115-030716-JAP_(Rat230_2).CEL	117-030716-JAP_(Rat230_2).CEL	118-030716-JAP_(Rat230_2).CEL	119-030716-JAP_(Rat230_2).CEL	120-030716-JAP_(Rat230_2).CEL	122-030716-JAP_(Rat230_2).CEL	123-030716-JAP_(Rat230_2).CEL	124-030716-JAP_(Rat230_2).CEL	125-030716-JAP_(Rat230_2).CEL	126-030716-JAP_(Rat230_2).CEL	128-030716-JAP_(Rat230_2).CEL	129-030716-JAP_(Rat230_2).CEL	130-030716-JAP_(Rat230_2).CEL	131-030716-JAP_(Rat230_2).CEL	132-030716-JAP_(Rat230_2).CEL	133-030716-JAP_(Rat230_2).CEL	134-030716-JAP_(Rat230_2).CEL	135-030716-JAP_(Rat230_2).CEL
Doses	0.0	0.0	0.0	0.0	0.0	3.0	3.0	3.0	3.0	30.0	30.0	30.0	30.0	100.0	100.0	100.0	100.0	100.0	300.0	300.0	300.0	300.0	300.0	1000.0	1000.0	1000.0	1000.0	1000.0
AFFX-BioB-5_at	8.908507	8.5280695	8.78008	8.494428	8.609528	8.63479	8.777359	8.576796	9.011393	8.857172	8.326655	8.606598	8.629372	8.807067	8.932677	8.522394	8.625261	8.690203	8.870574	8.839682	8.669527	8.698537	8.6802435	8.900507	8.390559	8.635674	9.203733	8.629203
AFFX-BioB-M_at	9.480337	9.138938	9.350442	9.107982	9.304416	9.190585	9.355716	9.163829	9.498371	9.469678	8.967353	9.207894	9.133909	9.249776	9.527315	9.110401	9.1797495	9.249788	9.488994	9.398139	9.2205	9.262612	9.174843	9.475173	9.045203	9.157013	9.840894	9.173388
AFFX-BioB-3_at	8.919746	8.624868	8.807462	8.502932	8.691852	8.637772	8.781406	8.579044	8.970749	8.941144	8.307722	8.61939	8.579898	8.662817	8.937835	8.519727	8.5768175	8.719251	8.923157	8.809871	8.644374	8.647432	8.635614	8.95899	8.413598	8.572774	9.201769	8.59375
AFFX-BioC-5_at	10.294781	9.95587	10.171894	9.993611	10.068262	10.021288	10.197577	10.002867	10.347706	10.306006	9.751662	10.053894	10.0273	10.106843	10.369625	9.930557	9.969015	10.112579	10.330532	10.15542	10.03505	10.015514	10.029865	10.257608	9.811894	9.985401	10.612768	10.00812
AFFX-BioC-3_at	10.324479	10.054657	10.261131	10.112952	10.167195	10.193528	10.250427	10.118783	10.429383	10.428787	9.945575	10.145779	10.066375	10.226202	10.482763	10.0248575	10.141827	10.224103	10.447299	10.260547	10.179005	10.139232	10.171141	10.429359	9.957053	10.090786	10.707628	10.143678
AFFX-BioDn-5_at	10.933119	10.715797	10.910709	10.745382	10.783205	10.68915	10.7494135	10.766857	11.057568	10.868673	10.56485	10.65681	10.765537	10.778614	11.08978	10.703368	10.732736	10.884727	10.996388	10.896956	10.781125	10.822791	10.753412	10.859558	10.662573	10.790616	11.326454	10.751775
AFFX-BioDn-3_at	11.980576	11.739521	11.951196	11.829676	11.832527	11.89159	11.930865	11.861033	12.114057	12.071379	11.773935	11.821679	11.818398	11.887233	12.166727	11.73449	11.8052635	11.908516	12.11403	11.964552	11.84827	11.884551	11.851394	12.044365	11.724974	11.816319	12.27695	11.799209
AFFX-CreX-5_at	13.503434	13.383873	13.498785	13.421169	13.422969	13.430436	13.441492	13.386471	13.555444	13.498903	13.331878	13.37603	13.414182	13.424743	13.607475	13.378707	13.405187	13.491826	13.49339	13.457071	13.476821	13.494139	13.4353285	13.475113	13.400612	13.418071	13.662919	13.4210415
AFFX-CreX-3_at	13.817798	13.656451	13.774546	13.733729	13.6855955	13.749796	13.7015085	13.660527	13.846841	13.72654	13.636451	13.638433	13.692043	13.721453	13.89894	13.7059555	13.687714	13.769363	13.73349	13.778244	13.750589	13.770548	13.7032795	13.728895	13.678818	13.7164	13.925863	13.708905
