Something	401-031616-JAP_(Rat230_2).CEL	402-031616-JAP_(Rat230_2).CEL	404-031616-JAP_(Rat230_2).CEL	405-031616-JAP_(Rat230_2).CEL	406-031616-JAP_(Rat230_2).CEL	407-031616-JAP_(Rat230_2).CEL	408-031616-JAP_(Rat230_2).CEL	410-031616-JAP_(Rat230_2).CEL	411-031616-JAP_(Rat230_2).CEL	412-031616-JAP_(Rat230_2).CEL	413-031616-JAP_(Rat230_2).CEL	414-031616-JAP_(Rat230_2).CEL	416-031616-JAP_(Rat230_2).CEL	417-031616-JAP_(Rat230_2).CEL	418-031616-JAP_(Rat230_2).CEL	419-031616-JAP_(Rat230_2).CEL	421-031616-JAP_(Rat230_2).CEL	422-031616-JAP_(Rat230_2).CEL	423-031616-JAP_(Rat230_2).CEL	424-031616-JAP_(Rat230_2).CEL	425-031616-JAP_(Rat230_2).CEL	426-031616-JAP_(Rat230_2).CEL	427-031616-JAP_(Rat230_2).CEL	428-031616-JAP_(Rat230_2).CEL	429-031616-JAP_(Rat230_2).CEL	431-031616-JAP_(Rat230_2).CEL	432-031616-JAP_(Rat230_2).CEL	433-031616-JAP_(Rat230_2).CEL	435-031616-JAP_(Rat230_2).CEL	436-031616-JAP_(Rat230_2).CEL
Doses	0.0	0.0	0.0	0.0	0.0	3.0	3.0	3.0	3.0	3.0	30.0	30.0	30.0	30.0	30.0	100.0	100.0	100.0	100.0	100.0	300.0	300.0	300.0	300.0	300.0	1000.0	1000.0	1000.0	1000.0	1000.0
AFFX-BioB-5_at	9.014539	8.413135	8.620478	8.826357	8.868517	8.780901	8.851025	9.079567	9.114752	8.479813	8.881823	9.071503	8.30367	9.064234	8.653901	8.680511	8.681453	8.70288	8.3495	8.810197	8.931753	8.638391	8.755782	8.450834	9.013208	8.692261	8.39606	8.887075	8.796782	8.672351
AFFX-BioB-M_at	9.599535	8.989067	9.280265	9.389042	9.462046	9.386839	9.475795	9.658417	9.683333	9.069077	9.398989	9.6071205	8.887136	9.627672	9.233642	9.282961	9.308897	9.301429	8.928651	9.439565	9.57025	9.232239	9.460386	9.144566	9.576964	9.323254	9.042124	9.412066	9.323775	9.220656
AFFX-BioB-3_at	9.094036	8.327507	8.70905	8.853965	8.872179	8.789024	8.794504	9.086391	9.087288	8.463548	8.838438	8.984573	8.285366	9.044856	8.654651	8.694508	8.735	8.686186	8.357966	8.836393	8.961777	8.567263	8.907319	8.541927	8.971816	8.771747	8.411339	8.863547	8.726663	8.617767
AFFX-BioC-5_at	10.36919	9.717349	10.012599	10.1420145	10.17497	10.137079	10.203004	10.399132	10.444416	9.878379	10.2490635	10.392407	9.68262	10.39183	9.96912	10.074174	9.999914	10.055782	9.759271	10.183218	10.367548	9.995804	10.172194	9.858443	10.226675	10.046855	9.784552	10.179688	10.136671	10.017181
AFFX-BioC-3_at	10.448249	9.808848	10.175492	10.225651	10.274233	10.270933	10.278784	10.442909	10.460651	9.92357	10.305337	10.464207	9.768155	10.473116	10.088174	10.190901	10.198573	10.134593	9.837419	10.303704	10.401647	10.054268	10.261118	9.935699	10.283961	10.15904	9.873422	10.274028	10.168476	10.113038
AFFX-BioDn-5_at	11.153741	10.479197	10.78236	10.846784	10.924126	10.907215	10.8866825	11.144607	11.110395	10.568887	11.033758	11.020212	10.373222	11.098196	10.7134075	10.7653885	10.724236	10.83903	10.469282	10.917659	11.105548	10.644168	10.93735	10.613786	10.963237	10.726194	10.486885	10.863173	10.865159	10.753861
AFFX-BioDn-3_at	12.011873	11.513892	11.783834	11.801484	11.893313	11.908925	11.882117	12.095528	12.048189	11.558971	11.893756	12.014091	11.423914	12.057173	11.784963	11.773141	11.822652	11.808157	11.599341	11.885855	12.0193615	11.650486	11.912272	11.595401	11.931009	11.781077	11.594277	11.892774	11.804055	11.828291
AFFX-CreX-5_at	13.607974	13.294275	13.427028	13.475983	13.545495	13.564338	13.484462	13.658825	13.591725	13.33211	13.51459	13.539747	13.298269	13.610077	13.413872	13.44301	13.339134	13.494792	13.324164	13.532038	13.597853	13.337619	13.530734	13.383028	13.549217	13.436656	13.369086	13.48247	13.4824915	13.434319
AFFX-CreX-3_at	13.831731	13.569538	13.743732	13.731638	13.777862	13.788565	13.731479	13.878574	13.776003	13.571558	13.703744	13.762536	13.544469	13.871879	13.672242	13.70479	13.648877	13.715379	13.561608	13.787949	13.807187	13.598874	13.771142	13.652214	13.806799	13.673545	13.6334915	13.7327	13.685005	13.705331
