Something	030816-MW-502_(Rat230_2).CEL	030816-MW-504_(Rat230_2).CEL	030816-MW-506_(Rat230_2).CEL	031516-MW-503_(Rat230_2).CEL	030816-MW-520_(Rat230_2).CEL	030816-MW-508_(Rat230_2).CEL	030816-MW-510_(Rat230_2).CEL	030816-MW-511_(Rat230_2).CEL	031516-MW-509_(Rat230_2).CEL	030816-MW-513_(Rat230_2).CEL	030816-MW-514_(Rat230_2).CEL	030816-MW-515_(Rat230_2).CEL	030816-MW-516_(Rat230_2).CEL	031516-MW-517_(Rat230_2).CEL	030816-MW-526_(Rat230_2).CEL	030816-MW-521_(Rat230_2).CEL	030816-MW-522_(Rat230_2).CEL	030816-MW-523_(Rat230_2).CEL	031516-MW-519_(Rat230_2).CEL	030816-MW-531_(Rat230_2).CEL	030816-MW-528_(Rat230_2).CEL	030816-MW-529_(Rat230_2).CEL	031516-MW-527_(Rat230_2)_2.CEL	031516-MW-530_(Rat230_2).CEL	030816-MW-532_(Rat230_2).CEL	030816-MW-534_(Rat230_2).CEL	031516-MW-535_(Rat230_2).CEL	031516-MW-536_(Rat230_2).CEL	030816-MW-507_(Rat230_2).CEL
Doses	0	0	0	0	0	3	3	3	3	3	30	30	30	30	30	100	100	100	100	100	300	300	300	300	1000	1000	1000	1000	1000
AFFX-BioB-5_at	8.441826	8.674615	8.527392	8.454466	8.608332	8.649384	8.563407	8.440578	8.49465	8.245234	8.627594	8.585497	8.653095	8.346296	8.589441	8.534459	8.560297	8.388928	8.603146	8.615954	8.801566	8.649998	8.729658	8.215559	8.552913	8.44314	8.717443	8.370338	8.744745
AFFX-BioB-M_at	9.025735	9.334078	9.019407	8.948897	9.133138	9.216927	9.160154	9.035814	9.080756	8.792353	9.194849	9.219449	9.064511	8.708	9.066203	9.043898	9.184668	9.1086445	9.036613	9.091186	9.388783	9.111662	9.340579	8.73666	9.115864	8.95883	9.222131	8.9546	9.230251
AFFX-BioB-3_at	8.416784	8.693143	8.412362	8.352711	8.548098	8.586784	8.6036625	8.412549	8.406528	8.138571	8.589798	8.628573	8.457819	8.049079	8.430199	8.468164	8.556847	8.431135	8.410146	8.501466	8.734286	8.540172	8.725036	8.114041	8.468494	8.323057	8.609652	8.375331	8.696578
AFFX-BioC-5_at	9.801664	10.009634	9.784897	9.700164	9.924384	9.956952	9.935494	9.822022	9.808604	9.578005	9.907346	9.957333	9.8780365	9.536151	9.839557	9.821135	9.955423	9.802298	9.781378	9.844859	10.063754	9.830449	10.021119	9.547444	9.818838	9.693458	9.9456	9.686371	9.991618
AFFX-BioC-3_at	9.820206	10.101312	9.915886	9.845557	10.023277	10.043395	9.980848	9.918994	9.98046	9.6893	10.007938	10.059312	9.959891	9.822883	9.928008	9.940724	10.0054	9.960198	9.911321	9.930971	10.15355	9.982604	10.130006	9.658934	9.914992	9.767788	10.02408	9.850109	10.031983
AFFX-BioDn-5_at	10.36912	10.752133	10.530837	10.418192	10.719557	10.67486	10.67663	10.569614	10.662188	10.423075	10.618802	10.737627	10.466987	10.119224	10.677704	10.666678	10.658927	10.492613	10.486567	10.64617	10.814445	10.631046	10.665466	10.4620695	10.588583	10.524094	10.745394	10.543919	10.696579
AFFX-BioDn-3_at	11.672042	11.800403	11.732753	11.611391	11.766856	11.7540865	11.772674	11.646831	11.756414	11.460753	11.681459	11.734696	11.665606	11.663882	11.589124	11.653748	11.820928	11.699174	11.619908	11.646185	11.821874	11.645833	11.818982	11.526482	11.698195	11.567166	11.720806	11.663381	11.814464
AFFX-CreX-5_at	13.344695	13.439643	13.393719	13.232246	13.418617	13.439848	13.435107	13.420833	13.417026	13.276149	13.39052	13.447002	13.231362	13.0536995	13.4245615	13.464217	13.415092	13.298918	13.339734	13.378203	13.518225	13.424431	13.400352	13.267815	13.427338	13.368442	13.442227	13.320454	13.4095545
AFFX-CreX-3_at	13.584822	13.659605	13.652509	13.51114	13.679394	13.672276	13.664114	13.664129	13.6425	13.512368	13.6066885	13.682973	13.616057	13.540473	13.612054	13.706488	13.729295	13.533625	13.562054	13.609475	13.755588	13.686688	13.681396	13.492633	13.686943	13.650253	13.700361	13.565994	13.699284
