Something	601-030116-MW_(Rat230_2).CEL	602-030116-MW_(Rat230_2).CEL	603-030116-MW_(Rat230_2).CEL	605-030116-MW_(Rat230_2).CEL	607-030116-MW_(Rat230_2).CEL	608-030116-MW_(Rat230_2).CEL	609-030116-MW_(Rat230_2).CEL	610-030116-MW_(Rat230_2).CEL	612-030116-MW_(Rat230_2).CEL	613-030116-MW_(Rat230_2).CEL	614-030116-MW_(Rat230_2).CEL	615-030116-MW_(Rat230_2).CEL	616-030116-MW_(Rat230_2).CEL	618-030116-MW_(Rat230_2).CEL	619-030116-MW_(Rat230_2).CEL	620-030116-MW_(Rat230_2).CEL	621-030116-MW_(Rat230_2).CEL	622-030116-MW_(Rat230_2).CEL	623-030116-MW_(Rat230_2).CEL	625-030116-MW_(Rat230_2).CEL	627-030116-MW_(Rat230_2).CEL	628-030116-MW_(Rat230_2).CEL	629-030116-MW_(Rat230_2).CEL	630-030116-MW_(Rat230_2).CEL	631-030116-MW_(Rat230_2).CEL	632-030116-MW_(Rat230_2).CEL	633-030116-MW_(Rat230_2).CEL	635-030116-MW_(Rat230_2).CEL	636-030116-MW_(Rat230_2).CEL
Doses	0	0	0	0	94	94	94	94	94	188	188	188	188	188	375	375	375	375	375	750	750	750	750	750	1500	1500	1500	1500	1500
AFFX-BioB-5_at	8.519379	8.574438	8.705419	8.514821	8.414519	8.779066	8.656808	8.45679	8.82729	8.920033	8.4164915	8.507494	8.626076	8.617399	8.7846775	8.562544	8.504378	8.504223	8.31962	8.573822	8.562157	8.475325	8.571618	8.569731	8.771832	8.521528	8.458349	8.306791	8.652129
AFFX-BioB-M_at	9.150633	9.163834	9.23723	8.999526	9.038888	9.247932	9.183698	9.076874	9.377212	9.484604	9.118981	9.072252	9.143158	9.205595	9.384354	9.122215	9.09238	9.155763	8.984781	9.097394	9.147019	9.15216	9.165926	9.127307	9.350195	9.136437	9.094352	8.926575	9.219041
AFFX-BioB-3_at	8.580107	8.6024475	8.686861	8.430083	8.466539	8.73341	8.685645	8.518837	8.846873	8.914126	8.566942	8.545261	8.648114	8.674786	8.7430525	8.566016	8.432257	8.5658245	8.353817	8.603466	8.589407	8.610615	8.634471	8.528524	8.806101	8.544674	8.575413	8.293613	8.683841
AFFX-BioC-5_at	9.905684	9.959281	10.029978	9.801889	9.791287	10.115034	10.053534	9.90189	10.111611	10.244445	9.901821	9.835871	9.844353	10.042266	10.177301	9.937347	9.843078	9.958453	9.72193	9.836192	9.911156	10.002847	10.000514	9.95773	10.181054	9.925965	9.891481	9.614588	10.042286
AFFX-BioC-3_at	10.01275	9.986005	10.199803	9.911025	9.886657	10.155773	10.0670805	9.975486	10.239639	10.32719	9.995856	10.016544	9.959934	10.154044	10.2970295	10.026637	9.9007225	10.053402	9.804642	9.947756	9.979004	10.070539	10.120551	10.002309	10.204599	10.072635	10.000486	9.808353	10.103488
AFFX-BioDn-5_at	10.688871	10.671896	10.823982	10.537146	10.58749	10.825211	10.664267	10.65293	10.942697	10.89484	10.596905	10.586669	10.695616	10.695244	10.843774	10.623285	10.55975	10.710415	10.588295	10.5635	10.580605	10.722447	10.715944	10.655809	10.783476	10.755454	10.643328	10.510843	10.754453
AFFX-BioDn-3_at	11.728921	11.745848	11.824439	11.671993	11.651527	11.793624	11.738545	11.726317	11.898365	11.948392	11.725466	11.680265	11.64937	11.749243	11.858667	11.662912	11.639426	11.77157	11.583277	11.685272	11.6866865	11.799618	11.76038	11.651193	11.863109	11.755044	11.65376	11.6242	11.732187
AFFX-CreX-5_at	13.472271	13.453678	13.43856	13.365707	13.347831	13.482143	13.429855	13.425447	13.566884	13.512389	13.386615	13.36021	13.425443	13.4376955	13.47822	13.3474	13.345254	13.4423275	13.407596	13.345563	13.368813	13.377437	13.44965	13.390715	13.467392	13.462383	13.428342	13.303981	13.42239
AFFX-CreX-3_at	13.71763	13.704169	13.720664	13.629782	13.666062	13.743989	13.70495	13.699569	13.787313	13.762587	13.673299	13.639807	13.669296	13.718562	13.79591	13.66054	13.640819	13.739563	13.620444	13.663365	13.689643	13.674264	13.715324	13.648986	13.732278	13.688462	13.714985	13.589416	13.687135
