Something	702-030916-MW_(Rat230_2).CEL	703-030916-MW_(Rat230_2).CEL	705-030916-MW_(Rat230_2).CEL	706-030916-MW_(Rat230_2).CEL	707-030916-MW_(Rat230_2).CEL	708-030916-MW_(Rat230_2).CEL	710-030916-MW_(Rat230_2).CEL	712-030916-MW_(Rat230_2).CEL	713-030916-MW_(Rat230_2).CEL	714-030916-MW_(Rat230_2).CEL	715-030916-MW_(Rat230_2).CEL	717-030916-MW_(Rat230_2).CEL	719-030916-MW_(Rat230_2).CEL	720-030916-MW_(Rat230_2).CEL	721-030916-MW_(Rat230_2).CEL	724-030916-MW_(Rat230_2).CEL	726-030916-MW_(Rat230_2).CEL	727-030916-MW_(Rat230_2).CEL	728-030916-MW_(Rat230_2).CEL	729-030916-MW_(Rat230_2).CEL	730-030916-MW_(Rat230_2).CEL	732-030916-MW_(Rat230_2).CEL	733-030916-MW_(Rat230_2).CEL	734-030916-MW_(Rat230_2).CEL	735-030916-MW_(Rat230_2).CEL	736-030916-MW_(Rat230_2).CEL
Doses	0	0	0	0	3	3	3	3	30	30	30	30	100	100	100	100	300	300	300	300	300	1000	1000	1000	1000	1000
AFFX-BioB-5_at	8.393947	8.426044	8.321925	8.482195	8.46816	8.581916	8.534068	8.482661	8.493611	8.9734335	8.467152	8.460837	8.405785	8.384923	8.798787	8.167885	8.388294	8.341	8.463413	8.312627	8.539917	8.292908	8.499135	8.180288	8.336332	8.327254
AFFX-BioB-M_at	8.878075	9.030807	8.890954	8.868781	8.964101	9.191846	9.0429325	9.08415	8.980135	9.500997	8.950906	9.043586	9.024047	8.839707	9.294856	8.733483	8.905965	8.954865	9.008243	9.036597	9.051208	8.805146	9.087368	8.819501	8.86977	8.950157
AFFX-BioB-3_at	8.347865	8.488561	8.238417	8.352332	8.46033	8.569962	8.499361	8.509042	8.438525	8.909188	8.364164	8.4146	8.367812	8.245124	8.770788	8.090094	8.349093	8.395708	8.47398	8.474528	8.473489	8.265698	8.433097	8.148765	8.249102	8.307171
AFFX-BioC-5_at	9.779931	9.776716	9.618319	9.721976	9.750202	9.934698	9.859658	9.835362	9.812539	10.309686	9.765391	9.801724	9.784798	9.64719	10.150047	9.5316515	9.665646	9.724061	9.866222	9.847186	9.830278	9.635123	9.809895	9.54034	9.675407	9.7224865
AFFX-BioC-3_at	9.807508	9.9397	9.76225	9.842533	9.872047	10.010731	9.925448	9.926465	9.919717	10.356501	9.878802	9.905285	9.823867	9.73875	10.200499	9.627886	9.771713	9.805897	9.89304	9.9938135	9.921438	9.73245	9.87872	9.707282	9.766906	9.764213
AFFX-BioDn-5_at	10.473487	10.491057	10.50107	10.353322	10.57974	10.716256	10.579345	10.555635	10.512619	11.052641	10.563319	10.545662	10.637158	10.389858	10.819703	10.362221	10.511903	10.49873	10.516533	10.642436	10.606995	10.50278	10.551124	10.42568	10.480223	10.444768
AFFX-BioDn-3_at	11.507712	11.617267	11.494469	11.610095	11.6333065	11.742982	11.676425	11.658664	11.686274	12.083178	11.537869	11.629806	11.595168	11.501165	11.895839	11.4000435	11.544678	11.538538	11.635494	11.659517	11.592961	11.484157	11.685906	11.471788	11.448595	11.5019045
AFFX-CreX-5_at	13.320483	13.390559	13.350905	13.235541	13.355031	13.477845	13.407934	13.431098	13.3325205	13.651875	13.397398	13.363507	13.432764	13.3282175	13.518558	13.248227	13.327092	13.367222	13.397541	13.459216	13.443297	13.395012	13.428395	13.334231	13.325386	13.30468
AFFX-CreX-3_at	13.534827	13.592284	13.5469885	13.565731	13.576657	13.722292	13.667829	13.6843605	13.605198	13.850687	13.603022	13.597179	13.647697	13.541703	13.724235	13.500607	13.5723715	13.605839	13.578056	13.654447	13.609692	13.4628	13.680971	13.58381	13.563981	13.612473
AFFX-DapX-5_at	6.7706265	6.996437	6.5766764	6.53968	6.8675623	7.3049636	6.423888	7.142748	6.692729	6.984067	6.8405695	6.779802	6.6118965	6.513275	6.5685043	6.2811084	6.3403325	6.077582	6.6033955	7.0720587	7.000893	7.227023	6.4488335	7.2011557	6.789311	6.870356
AFFX-DapX-M_at	7.976069	8.04933	7.7898583	7.7036514	7.925328	8.418758	7.5923185	8.288428	7.9192495	7.9567947	7.773162	7.965008	7.8730803	7.6120615	7.828849	7.5086093	7.3880725	7.222236	7.761773	8.299835	8.094559	8.367256	7.701848	8.385632	7.892129	7.9787107
AFFX-DapX-3_at	8.554679	8.599621	8.301514	8.443221	8.505381	8.995568	8.259423	8.859317	8.553996	8.589435	8.356254	8.504255	8.3424835	8.167301	8.410943	8.183684	8.017391	7.8402967	8.26416	8.737982	8.624207	8.797741	8.358481	8.907929	8.55404	8.521001
AFFX-LysX-5_at	4.0715303	4.0019984	3.951776	3.8003614	3.7271938	4.1002827	3.6089506	4.0698004	3.6878076	3.5497944	3.8888566	3.7956283	3.8376	3.7732816	3.880022	3.4887323	3.242372	3.5570607	3.7031446	4.192888	3.8989656	4.435505	3.5042534	4.1362357	3.898759	3.941665
AFFX-LysX-M_at	5.1899676	5.2423296	4.9972005	4.9210463	5.0360465	5.4210334	4.6513643	5.2427816	5.0305076	5.1142507	4.9147453	5.081889	4.9809847	4.951244	5.088697	4.5537076	4.4204307	4.616275	4.857305	5.2480035	5.030147	5.490985	4.6806173	5.433913	5.186536	5.164734
AFFX-LysX-3_at	6.2975016	6.423371	6.1661034	6.434312	6.2148256	6.5971556	6.065906	6.5391874	6.1976514	6.297139	6.1912656	6.1131606	5.966128	5.95485	6.3351073	5.8294096	5.7182827	5.8255115	6.22033	6.549539	6.4455924	6.752564	6.0262957	6.748073	6.2721453	6.4959188
AFFX-PheX-5_at	5.724414	6.0405936	5.614244	5.6663985	5.804155	5.774378	5.5839906	5.9026184	5.4034224	5.414411	5.704833	5.705316	5.606726	5.3811507	5.8011785	5.2562103	5.3679924	5.0539684	5.5001526	5.9485326	5.7281566	6.05917	5.5616846	6.084722	5.6834507	5.8651943
AFFX-PheX-M_at	6.086133	6.3837175	5.9610844	6.067206	6.170992	6.4970493	5.871271	6.292548	6.1015277	6.156537	6.0618186	6.2151003	6.1191516	5.7885756	6.2367754	5.701027	5.82561	5.6127625	6.1288967	6.3278003	6.2395897	6.48634	6.04798	6.45507	6.182885	6.1854267
AFFX-PheX-3_at	7.2523713	7.3030343	7.023574	7.2257843	7.219018	7.420461	6.978773	7.41628	7.092786	7.1970177	7.0666213	7.1752033	7.1127105	6.9840164	7.190954	6.9034038	6.8838644	6.8835964	7.1152887	7.318811	7.0938783	7.346076	7.1515365	7.4151387	7.0160418	7.2285585
AFFX-ThrX-5_at	5.8086643	5.883183	5.579627	5.5792804	5.602284	6.0046296	5.5143447	5.820636	5.787354	5.7759237	5.381023	5.6471195	5.7995977	5.790211	5.95724	5.5222235	5.5470686	5.488388	5.9577327	5.617852	5.532479	6.100872	5.6723633	6.1047754	6.10922	5.622898
AFFX-ThrX-M_at	5.0839434	5.194097	4.7603683	4.6412277	4.780672	5.3383718	4.63591	5.101012	4.744258	4.637472	4.6997743	5.0230923	4.610357	4.5991597	4.8692703	4.4686346	4.53806	4.4132056	5.344148	4.808687	5.039818	5.5967164	4.8346033	5.2423973	5.0113726	4.886844
AFFX-ThrX-3_at	6.7367797	6.8285365	6.313939	6.5915565	6.5251822	6.892161	6.2282104	6.776045	6.5013943	6.219985	6.2610965	6.633761	6.1014833	6.100001	6.411858	5.9035664	6.067571	5.9704704	6.662368	6.6369424	6.5473266	7.002207	6.4047117	6.9091325	6.6033673	6.5430255
AFFX-TrpnX-5_at	2.6085424	2.5592265	2.4649746	2.6320977	2.5096679	2.4754384	2.4929454	2.667326	2.5681002	2.5243158	2.6112525	2.7078023	2.6574829	2.5557556	2.714457	2.443892	2.552498	2.4719934	2.573991	2.5629175	2.705405	2.6819205	2.4633465	2.4634857	2.6940134	2.553862
AFFX-TrpnX-M_at	2.4983158	2.6398244	2.4672058	2.5557225	2.4245274	2.6188462	2.5163665	2.4547768	2.4621298	2.5278635	2.513747	2.5257707	2.5605342	2.473024	2.627597	2.4470124	2.592969	2.6074312	2.5508306	2.4948997	2.6563234	2.5600445	2.5111818	2.5611234	2.6613553	2.6049657
AFFX-TrpnX-3_at	2.4320192	2.4116025	2.347506	2.367372	2.4991398	2.4633336	2.3742428	2.387994	2.3626287	2.4457242	2.2987332	2.3827853	2.527033	2.4224944	2.5378916	2.3738613	2.4252481	2.5034544	2.4839797	2.4485807	2.542059	2.4601693	2.3650658	2.3204563	2.3183255	2.400374
AFFX-r2-Ec-bioB-5_at	8.749936	8.810694	8.760531	8.914254	8.757628	8.876919	8.741962	8.680732	8.741522	9.214439	8.812099	8.728409	8.729799	8.62804	8.985262	8.463405	8.659661	8.690615	8.882703	8.839174	8.833182	8.665128	8.737633	8.494291	8.690152	8.687898
AFFX-r2-Ec-bioB-M_at	9.231403	9.386925	9.202444	9.493034	9.3009205	9.426397	9.325706	9.290751	9.385464	9.791288	9.264166	9.27297	9.242442	9.176677	9.565828	9.038399	9.179615	9.161136	9.361771	9.337982	9.359457	9.133108	9.317138	9.15131	9.222959	9.327625
AFFX-r2-Ec-bioB-3_at	8.868415	9.099608	8.909811	9.060611	9.0005455	9.125604	9.052199	9.0276575	8.940665	9.455948	8.996591	9.06993	8.931893	8.842143	9.245256	8.746176	8.893187	8.911579	9.000869	9.026265	9.020418	8.826342	9.048242	8.813274	8.870576	9.001642
AFFX-r2-Ec-bioC-5_at	10.058662	10.235704	9.994123	10.239643	10.173147	10.217867	10.222263	10.118795	10.21664	10.617876	10.087128	10.190218	10.085699	10.052298	10.482008	9.867361	9.98736	10.038473	10.241066	10.147207	10.186392	9.996927	10.130989	9.927246	10.070377	10.040226
AFFX-r2-Ec-bioC-3_at	10.038418	10.276278	10.078481	10.285399	10.214038	10.306783	10.227337	10.24283	10.271375	10.604477	10.070788	10.235496	10.047926	10.049289	10.520913	9.975595	10.060895	10.038743	10.235082	10.205189	10.231384	9.990341	10.19699	9.993357	10.024353	10.1247
AFFX-r2-Ec-bioD-5_at	11.779034	11.883963	11.873825	11.964698	11.984248	12.042256	11.975775	11.954378	11.93743	12.267853	11.8727	11.960983	11.957839	11.8215065	12.083078	11.77357	11.863087	11.797734	11.875553	11.973337	11.945322	11.633976	11.966553	11.81556	11.814135	11.89274
AFFX-r2-Ec-bioD-3_at	12.426994	12.5095415	12.438229	12.627066	12.488164	12.59074	12.579971	12.528312	12.602131	12.894936	12.439545	12.423547	12.525516	12.43775	12.630424	12.291991	12.448763	12.383166	12.462577	12.534252	12.527691	12.378635	12.536454	12.391141	12.428306	12.471246
AFFX-r2-P1-cre-5_at	13.773989	13.82016	13.818751	13.8902645	13.84888	13.904528	13.839045	13.818218	13.84432	13.982895	13.827738	13.808341	13.836256	13.765176	13.8910885	13.762512	13.840686	13.786241	13.79731	13.848152	13.83389	13.740847	13.817857	13.804994	13.751273	13.8455925
AFFX-r2-P1-cre-3_at	14.129584	14.207102	14.191488	14.212026	14.18857	14.231637	14.219351	14.167965	14.151527	14.33276	14.152085	14.194441	14.231079	14.176828	14.222786	14.119093	14.173825	14.181795	14.1923065	14.23913	14.191292	14.140539	14.165945	14.177825	14.139927	14.212503
AFFX-r2-Bs-dap-5_at	7.209982	7.3103366	7.0664897	7.0451336	7.3868647	7.686792	6.9475565	7.5921106	7.057229	7.3767385	7.1485367	7.243781	6.883551	6.863735	7.185158	6.6386137	6.763567	6.492065	7.0296817	7.5515738	7.338591	7.758707	6.8872876	7.7249074	7.2198687	7.365676
AFFX-r2-Bs-dap-M_at	8.096929	8.255131	7.937815	8.003443	8.137223	8.5559	7.673072	8.384168	7.9860864	8.173286	7.916698	8.101383	7.987449	7.89408	8.074147	7.758389	7.528084	7.393489	7.8587093	8.421201	8.210281	8.428958	7.848638	8.530418	8.07861	8.192331
AFFX-r2-Bs-dap-3_at	9.254545	9.409208	9.024025	9.149498	9.268084	9.877605	8.87776	9.5885105	9.255375	9.347689	9.123495	9.141284	9.171306	8.929233	9.199214	8.833937	8.750424	8.641373	9.034864	9.6338005	9.34019	9.660431	9.036705	9.709766	9.279982	9.315456
AFFX-r2-Bs-lys-5_at	4.43167	4.6991644	4.2638726	4.9937315	4.49011	4.9393263	3.644924	4.709112	4.368101	4.177764	4.4520555	4.3593984	4.1451035	3.955602	4.288457	3.7537346	3.6006122	3.702119	4.547625	4.4971876	4.424362	5.1837187	4.2509804	4.8411493	4.2705145	4.7647448
AFFX-r2-Bs-lys-M_at	4.574245	5.051815	4.1974325	4.905344	4.5373626	4.9313393	4.1834817	4.9262624	4.495939	4.4624386	4.660712	4.511889	3.9871879	4.325901	4.3859844	4.1967154	4.1171284	4.3434563	4.3576255	5.1920714	4.9073257	5.2556224	4.5900245	5.1720824	4.3322306	4.4435196
AFFX-r2-Bs-lys-3_at	5.687851	5.7545166	4.9711914	5.079544	4.9639935	5.6879344	5.241907	5.8338594	4.8931255	5.381447	5.0380974	5.3774977	4.859151	5.1384516	5.154576	4.67417	5.051354	4.9889965	5.3550096	5.6204515	5.4055004	5.842124	4.81236	5.6442776	5.196318	5.498261
